Threshold,Precision,Recall,F1,Predicted_Churn_Rate
0.8099999999999996,0.727027027027027,0.35986622073578595,0.4814317673378076,0.1313454029108981
0.8199999999999996,0.7398255813953488,0.34046822742474914,0.4663307375171782,0.12211572594959176
0.8299999999999996,0.7449139280125195,0.3183946488294314,0.44611059044048734,0.1134185303514377
0.8399999999999996,0.7592592592592593,0.3016722408026756,0.43178554332216373,0.10543130990415335
0.8499999999999996,0.7714285714285715,0.2709030100334448,0.400990099009901,0.09318423855165069
0.8599999999999995,0.788546255506608,0.2394648829431438,0.3673678809645972,0.08058217962371317
0.8699999999999996,0.8087167070217918,0.2234113712374582,0.350104821802935,0.07330493432729854
0.8799999999999996,0.8376068376068376,0.19665551839464884,0.31852654387865653,0.06230031948881789
0.8899999999999996,0.8481848184818482,0.17190635451505018,0.28587319243604004,0.05378061767838126
0.8999999999999996,0.8634538152610441,0.14381270903010032,0.24655963302752293,0.04419595314164004
